energy,flux,satellite,time_tag
>=60 MeV,0.15313246846199036,18,2026-02-27 03:35:00+00
>=5 MeV,0.17882907390594482,18,2026-02-27 03:35:00+00
>=50 MeV,0.15352901816368103,18,2026-02-27 03:35:00+00
>=500 MeV,0.13471031188964844,18,2026-02-27 03:35:00+00
>=30 MeV,0.16030599176883698,18,2026-02-27 03:35:00+00
>=1 MeV,3.089660406112671,18,2026-02-27 03:35:00+00
>=10 MeV,0.17404773831367493,18,2026-02-27 03:35:00+00
>=100 MeV,0.1521119922399521,18,2026-02-27 03:35:00+00
>=60 MeV,0.13859973847866058,18,2026-02-27 03:30:00+00
>=5 MeV,0.20585280656814575,18,2026-02-27 03:30:00+00
>=50 MeV,0.13899573683738708,18,2026-02-27 03:30:00+00
>=500 MeV,0.1347118467092514,18,2026-02-27 03:30:00+00
>=30 MeV,0.1455068290233612,18,2026-02-27 03:30:00+00
>=1 MeV,2.8920321464538574,18,2026-02-27 03:30:00+00
>=10 MeV,0.201224222779274,18,2026-02-27 03:30:00+00
>=100 MeV,0.13766969740390778,18,2026-02-27 03:30:00+00
>=60 MeV,0.15499013662338257,18,2026-02-27 03:25:00+00
>=5 MeV,0.17611706256866455,18,2026-02-27 03:25:00+00
>=50 MeV,0.15656611323356628,18,2026-02-27 03:25:00+00
>=500 MeV,0.14938414096832275,18,2026-02-27 03:25:00+00
>=30 MeV,0.15832629799842834,18,2026-02-27 03:25:00+00
>=1 MeV,2.7537522315979004,18,2026-02-27 03:25:00+00
>=10 MeV,0.16821852326393127,18,2026-02-27 03:25:00+00
>=100 MeV,0.15236718952655792,18,2026-02-27 03:25:00+00
>=60 MeV,0.13682790100574493,18,2026-02-27 03:20:00+00
>=5 MeV,0.14949652552604675,18,2026-02-27 03:20:00+00
>=50 MeV,0.13719220459461212,18,2026-02-27 03:20:00+00
>=500 MeV,0.13204380869865417,18,2026-02-27 03:20:00+00
>=30 MeV,0.13810321688652039,18,2026-02-27 03:20:00+00
>=1 MeV,2.542360305786133,18,2026-02-27 03:20:00+00
>=10 MeV,0.14464986324310303,18,2026-02-27 03:20:00+00
>=100 MeV,0.13532128930091858,18,2026-02-27 03:20:00+00
>=60 MeV,0.19364115595817566,18,2026-02-27 03:15:00+00
>=5 MeV,0.24673764407634735,18,2026-02-27 03:15:00+00
>=50 MeV,0.20151770114898682,18,2026-02-27 03:15:00+00
>=500 MeV,0.14805130660533905,18,2026-02-27 03:15:00+00
>=30 MeV,0.21043239533901215,18,2026-02-27 03:15:00+00
>=1 MeV,2.940760612487793,18,2026-02-27 03:15:00+00
>=10 MeV,0.22535504400730133,18,2026-02-27 03:15:00+00
>=100 MeV,0.16873033344745636,18,2026-02-27 03:15:00+00
>=60 MeV,0.15122458338737488,18,2026-02-27 03:10:00+00
>=5 MeV,0.16391539573669434,18,2026-02-27 03:10:00+00
>=50 MeV,0.15159380435943604,18,2026-02-27 03:10:00+00
>=500 MeV,0.1400488018989563,18,2026-02-27 03:10:00+00
>=30 MeV,0.15251033008098602,18,2026-02-27 03:10:00+00
>=1 MeV,2.347508430480957,18,2026-02-27 03:10:00+00
>=10 MeV,0.1590573489665985,18,2026-02-27 03:10:00+00
>=100 MeV,0.1468695104122162,18,2026-02-27 03:10:00+00
>=60 MeV,0.1871648132801056,18,2026-02-27 03:05:00+00
>=5 MeV,0.2261062115430832,18,2026-02-27 03:05:00+00
>=50 MeV,0.1905546635389328,18,2026-02-27 03:05:00+00
>=500 MeV,0.18139789998531342,18,2026-02-27 03:05:00+00
>=30 MeV,0.19320239126682281,18,2026-02-27 03:05:00+00
>=1 MeV,2.078258514404297,18,2026-02-27 03:05:00+00
