electron_contaminaton,electron_correction,energy,flux,observed_flux,satellite,time_tag
f,4.281650234361223e-08,0.1-0.8nm,1.0938515515590552e-06,1.1366680610080948e-06,18,2026-02-27 03:43:00+00
t,7.235164645180703e-08,0.05-0.4nm,3.549898863752787e-08,1.0785063153662122e-07,18,2026-02-27 03:43:00+00
f,4.2530871269264026e-08,0.1-0.8nm,1.0649630439729663e-06,1.1074939720856491e-06,18,2026-02-27 03:42:00+00
t,7.130920920417338e-08,0.05-0.4nm,3.528822389853303e-08,1.0659743310270642e-07,18,2026-02-27 03:42:00+00
f,4.2701799429778475e-08,0.1-0.8nm,1.0650369404174853e-06,1.1077387398472638e-06,18,2026-02-27 03:41:00+00
t,7.020100412091779e-08,0.05-0.4nm,3.584090890740299e-08,1.0604191658103446e-07,18,2026-02-27 03:41:00+00
f,4.31660893696062e-08,0.1-0.8nm,1.0688700058381073e-06,1.1120361023131409e-06,18,2026-02-27 03:40:00+00
t,6.918048001125499e-08,0.05-0.4nm,3.693672923077429e-08,1.0611721279474295e-07,18,2026-02-27 03:40:00+00
f,4.317137580756025e-08,0.1-0.8nm,1.065802393895865e-06,1.1089737199654337e-06,18,2026-02-27 03:39:00+00
t,7.05107652265724e-08,0.05-0.4nm,3.7329719759782165e-08,1.0784048498635457e-07,18,2026-02-27 03:39:00+00
f,4.317144686183383e-08,0.1-0.8nm,1.0609015816953615e-06,1.1040731351386057e-06,18,2026-02-27 03:38:00+00
t,7.278793390241844e-08,0.05-0.4nm,3.4909160007146056e-08,1.0769709035685082e-07,18,2026-02-27 03:38:00+00
f,4.3218133072286946e-08,0.1-0.8nm,1.0507478691579308e-06,1.0939659205178032e-06,18,2026-02-27 03:37:00+00
t,7.189561301856884e-08,0.05-0.4nm,3.762654188221859e-08,1.0952215490078743e-07,18,2026-02-27 03:37:00+00
f,4.359890226623975e-08,0.1-0.8nm,1.0334656508348417e-06,1.0770645531010814e-06,18,2026-02-27 03:36:00+00
t,7.147190927980773e-08,0.05-0.4nm,3.719529573231739e-08,1.086672085648388e-07,18,2026-02-27 03:36:00+00
f,4.458779656602019e-08,0.1-0.8nm,1.0095667448695167e-06,1.054154495250259e-06,18,2026-02-27 03:35:00+00
t,6.969224131125884e-08,0.05-0.4nm,3.7583070877644786e-08,1.0727531218890363e-07,18,2026-02-27 03:35:00+00
f,4.510616236075293e-08,0.1-0.8nm,1.0046287570730783e-06,1.0497349194338312e-06,18,2026-02-27 03:34:00+00
t,6.956322806672688e-08,0.05-0.4nm,3.719446084460287e-08,1.0675768891132975e-07,18,2026-02-27 03:34:00+00
f,4.559543853588366e-08,0.1-0.8nm,1.0011664244302665e-06,1.0467618949405733e-06,18,2026-02-27 03:33:00+00
t,7.064348039875767e-08,0.05-0.4nm,3.662390923864223e-08,1.072673896373999e-07,18,2026-02-27 03:33:00+00
