time_tag,density,speed,temperature
2026-02-27 03:46:00+00,2.03,465.2,74175
2026-02-27 03:45:00+00,2.22,466.7,75052
2026-02-27 03:44:00+00,2.15,467.4,73498
2026-02-27 03:43:00+00,2.09,466.8,68281
2026-02-27 03:42:00+00,2.12,466,72876
2026-02-27 03:41:00+00,2.01,465.3,79415
2026-02-27 03:40:00+00,1.93,465.5,76743
2026-02-27 03:39:00+00,1.9,467.1,83690
2026-02-27 03:38:00+00,1.66,466.4,93720
2026-02-27 03:37:00+00,1.32,463.7,108366
2026-02-27 03:36:00+00,1.69,465.4,90599
2026-02-27 03:35:00+00,1.33,464.1,103519
2026-02-27 03:34:00+00,1.4,464.6,101557
2026-02-27 03:33:00+00,1.11,462.6,118054
2026-02-27 03:32:00+00,1.33,465.4,103455
2026-02-27 03:31:00+00,1.14,466.5,111108
2026-02-27 03:30:00+00,1.23,462.9,116647
2026-02-27 03:29:00+00,1.48,462.2,98182
2026-02-27 03:28:00+00,1.76,462.8,85597
2026-02-27 03:27:00+00,1.9,462.8,84567
2026-02-27 03:26:00+00,1.57,468.3,92683
2026-02-27 03:25:00+00,1.75,467.7,87329
2026-02-27 03:24:00+00,1.81,467,82297
2026-02-27 03:23:00+00,1.21,468.4,97976
2026-02-27 03:22:00+00,1.22,469.7,113103
2026-02-27 03:21:00+00,1.19,468.4,94540
2026-02-27 03:20:00+00,1.05,471.7,110369
2026-02-27 03:19:00+00,0.88,473.4,104311
2026-02-27 03:18:00+00,1.26,472,104637
2026-02-27 03:17:00+00,1.73,473.4,86743
2026-02-27 03:16:00+00,1.2,473.6,97530
2026-02-27 03:15:00+00,1.28,465.3,106542
2026-02-27 03:14:00+00,1.79,465.9,83609
2026-02-27 03:13:00+00,2.01,467.5,71903
2026-02-27 03:12:00+00,2.01,469.1,78614
2026-02-27 03:11:00+00,1.96,467.4,82022
2026-02-27 03:10:00+00,1.71,464.8,85102
2026-02-27 03:09:00+00,1.41,467.8,97189
2026-02-27 03:08:00+00,1.25,473.3,102540
2026-02-27 03:07:00+00,1.05,472.4,97805
2026-02-27 03:06:00+00,1.17,464.8,111557
2026-02-27 03:05:00+00,0.75,467.4,114661
2026-02-27 03:04:00+00,0.32,446.9,83509
2026-02-27 03:03:00+00,0.57,482,164587
2026-02-27 03:02:00+00,0.58,459,98378
2026-02-27 03:01:00+00,0.7,451.1,93718
2026-02-27 03:00:00+00,0.76,461.8,156576
2026-02-27 02:59:00+00,0.87,463.4,157961
2026-02-27 02:58:00+00,1.41,461.3,115696
2026-02-27 02:57:00+00,1.44,463,101496
2026-02-27 02:56:00+00,1.44,462.9,101797
2026-02-27 02:55:00+00,1.59,462.6,94170
2026-02-27 02:54:00+00,1.65,463.5,87398
2026-02-27 02:53:00+00,1.07,466.2,124766
2026-02-27 02:52:00+00,1.04,466.5,120870
2026-02-27 02:51:00+00,1.02,468.5,110214
2026-02-27 02:50:00+00,1.1,472.3,107978
2026-02-27 02:49:00+00,0.91,472.7,120396
2026-02-27 02:48:00+00,1.07,485.1,101410
2026-02-27 02:47:00+00,1.29,468,102456
2026-02-27 02:46:00+00,2.03,464.8,101565
2026-02-27 02:45:00+00,0.7,471.2,153419
2026-02-27 02:44:00+00,1.23,459.5,108336
2026-02-27 02:43:00+00,1.22,459.6,117453
2026-02-27 02:42:00+00,1.57,461.4,101669
2026-02-27 02:41:00+00,0.75,482.8,146618
2026-02-27 02:40:00+00,0.68,477.1,142455
2026-02-27 02:39:00+00,1.07,461.7,119539
2026-02-27 02:38:00+00,0.68,450.7,77662
2026-02-27 02:37:00+00,0.19,460.5,63943
2026-02-27 02:36:00+00,0.66,491.7,127895
2026-02-27 02:35:00+00,1.32,478,108118
2026-02-27 02:34:00+00,0.7,482.6,159889
2026-02-27 02:33:00+00,1.59,471.6,107869
2026-02-27 02:32:00+00,1.61,472.3,112083
2026-02-27 02:31:00+00,1.75,477.7,96491
2026-02-27 02:30:00+00,1.53,476.2,86819
2026-02-27 02:29:00+00,1.9,470.6,98776
2026-02-27 02:28:00+00,1.46,474.3,80381
2026-02-27 02:27:00+00,1.52,476.3,83331
2026-02-27 02:26:00+00,1.4,476.3,90018
2026-02-27 02:25:00+00,1,479.7,88701
2026-02-27 02:24:00+00,0.54,492.2,142217
2026-02-27 02:23:00+00,0.24,500.1,241143
2026-02-27 02:22:00+00,0.21,501.7,221911
2026-02-27 02:21:00+00,0.3,504,122814
2026-02-27 02:20:00+00,0.7,484.1,153689
2026-02-27 02:19:00+00,0.94,479.6,135662
2026-02-27 02:18:00+00,1.64,465,82395
2026-02-27 02:17:00+00,1.16,464.8,114065
2026-02-27 02:16:00+00,1.28,462.1,129884
2026-02-27 02:15:00+00,0.99,464.2,108676
2026-02-27 02:14:00+00,1.53,466.4,97468
2026-02-27 02:13:00+00,1.05,465.1,131429
2026-02-27 02:12:00+00,1.21,461.5,125553
2026-02-27 02:11:00+00,0.42,483.6,235542
2026-02-27 02:10:00+00,0.18,488.2,249091
2026-02-27 02:09:00+00,0.39,477.9,208940
2026-02-27 02:08:00+00,0.69,473,158724
2026-02-27 02:07:00+00,0.82,472.5,138124
